Server Game Times:
-----------------

Total time in game: 2 Seconds
Total time in game: 8 Seconds
Total time in game: 6 Seconds
Total time in game: 16 Seconds
Total time in game: 12 Seconds
Total time in game: 7 Seconds
Total time in game: 5 Seconds
Total time in game: 12 Seconds
Total time in game: 7 Seconds
Total time in game: 7 Seconds
Total time in game: 9 Seconds
Total time in game: 5 Seconds
Total time in game: 7 Seconds
Total time in game: 5 Seconds
Total time in game: 19 Seconds
Total time in game: 24 Seconds
Total time in game: 30 Seconds
Total time in game: 30 Seconds
Total time in game: 34 Seconds
Total time in game: 7 Seconds
